lemma,count
ἔρρυμι,3
διαμελαίνω,1
προστίνω,4
ἐκπεπόνημαι,1
παρατέω,3
ἀμφαγαπάω,2
αἱρητάω,4
ἀπερωέω,1
δαμιόω,1
πολλαπλασιάζομαι,6
ἐπιρρυθμίζω,3
περιάπτω,79
συντίσκω,1
ἀποσβέννυμι,101
περιπλέχομαι,1
κολοβέω,2
ἐκπηδᾷν,2
ἐκμιμέομαι,14
γνώνδω,2
λελακτίζω,3
παραρρυάζω,3
διείλεγμαι,4
περιαπότομωι,1
παρομαρτέω,10
ἀποκέκλειμι,1
συντεταρίαγω,1
ἀνταράσσω,1
μεμελίτημι,1
ἐνεψόω,1
ἀποπαρδάνομαι,1
καταχρέω,1
ἀσφασνέομαι,2
προσελαύνω,106
συγκαθεῖρξα,1
διαπέρχομαι,2
ἐπιγαμάω,1
ἀναπείπωω,1
παρακεκάθικα,1
κυβερνόω,1
κατεσμβάνω,1
διαπυΐͅσκω,2
καταβρίθω,4
ἀλφάνω,5
συνακαλέω,4
εὔθυνω,1
νύγω,9
συγθάπτω,2
ἁπλοίζομαι,1
ἐφομιλέω,1
παραλελόιπα,1
κυλίνδω,85
πλατειάζω,1
ἀπορρέω,293
ἀπιλέγω,9
περιπτύχω,1
ββλάμνυμι,4
θλίη,4
ὑγράναισʼω,1
μνώω,1
ἐμπρίω,8
στυφελίζω,23
περιίλω,1
ἐκμεμαλετέω,1
ζητήζω,1
ἐνλοχάω,1
ἐγκατορύσσω,1
διτέμνω,1
ἀντιμέμφομαι,2
κεκόμω,4
πούνω,1
ὄρνυμι,374
ἀποτυπέω,1
εἰρκ́νω,1
τλῄσκω,1
ταράσσομαι,5
δεδΐημι,5
ξυγγινώσκω,1
συνανιχνεύω,1
ἀνιγράφω,1
ἀρίπτω,2
συνδιαλέγω,3
ἀπελαίω,1
βιβρεγ́υκω,3
κατομένω,1
συνεκθηλύνω,2
βουλεύω,2338
συγκατεσπάω,1
κονιάνω,2
πυκταλίζω,1
προσυμμαχέω,1
ἐνθράσσω,2
συναναστομόω,9
ἐνδιδράσκω,1
ἐλλάμφομαι,1
ἐκδέρκομαι,1
πρόϊε,1
διιγιστήτκω,1
συγκεκαττύω,1
εὐοσμέω,1
ἀντιθερμνῄσκω,2
παρασκευακέω,5
προπεπαιδεύω,1
παρώφνω,1
προτιμάομαι,1
λυμάνω,2
λαλέω,461
καταστάζω,19
ἐπιπτύσσομαι,1
ὀνομακ́ω,1
ἐπιπαρανέω,1
κακοπράγω,1
λποίζομαι,1
κεκοσμήομαι,2
πύριητι,1
βοηδρομέω,16
φυρ́ω,5
ἀποκλίλνω,1
ἀλωπεκίζω,2
μεμισέω,4
γεωρυχέω,3
νικασ́ω,5
ἀπιδείκνυμι,3
ἐράω,1164
ἱζάω,2
διαλέποω,1
ἐξαγγ́ελω,1
ἐκπαίω,1
ὑπτ́τω,1
ἐπιτετέυχα,1
λαξεύω,1
συστάω,5
ἀποκυίσκομαι,1
ἀποφεύγω,285
εἰστελέω,1
καταδυναστεύω,11
διαστηρίζω,1
πλέω,2125
ὑποστρόω,5
καταπωλέω,1
συγκεχωρῆκα,1
ἀνανεγ́κω,1
μβαίνω,3
τρέψομαι,2
αὐ,1
ταμεμορφόω,1
εἰσπάννουν,6
διακεχσέομαι,1
καταπροίω,1
ωἐρέχω,1
τερθρεύω,2
δίδιψη,1
κεραμεύω,16
μιμνῄσκω,2634
συνεκβιβάζω,1
ὑπερηφανάω,4
πέπιστευκα,1
